county,state,fips,code,flag,population
Grand Forks,North Dakota,38035,ND, ,69451
Lewis and Clark,Montana,30049,MT, ,69432
Greene,Tennessee,47059,TN, ,69069
Wilkes,North Carolina,37193,NC, ,68412
York,Virginia,51199,VA, ,68280
Klamath,Oregon,41035,OR, ,68238
Shiawassee,Michigan,26155,MI, ,68122
Jones,Mississippi,28067,MS, ,68098
Muskogee,Oklahoma,40101,OK, ,67997
Boone,Indiana,18011,IN, ,67843
Blue Earth,Minnesota,27013,MN, ,67653
Ward,North Dakota,38101,ND, ,67641
Catoosa,Georgia,13047,GA, ,67580
Laurens,South Carolina,45059,SC, ,67493
Otero,New Mexico,35035,NM, ,67490
Harrison,West Virginia,54033,WV, ,67256
St. Francois,Missouri,29187,MO, ,67215
Aroostook,Maine,23003,ME, ,67055
Rutherford,North Carolina,37161,NC, ,67029
